COUNTY,POPULATION,SQ_FT
Alcona,10942,1791
Alger,9601,5049
Allegan,111408,1833
Alpena,30000,1695
Antrim,23598,602
Arenac,15899,681
Baraga,8860,1069
Barry,59173,577
Bay,107771,631
Benzie,17525,860
Berrien,156813,1581
Branch,45248,519
Calhoun,136146,718
Cass,52293,508
Charlevoix,25949,1391
Cheboygan,26152,885
Chippewa,38520,2698
Clare,30926,575
Clinton,75382,575
Crawford,14074,563
Delta,37069,1992
Dickinson,26168,777
Eaton,107759,579
Emmet,32694,882
Genesee,425790,649
Gladwin,25692,516
Gogebic,16427,1476
Grand Traverse,86986,601
Gratiot,42476,572
Hillsdale,46688,607
Houghton,36628,1502
Huron,33118,2136
Ingham,280895,561
Ionia,63905,580
Iosco,25887,1891
Iron,11817,1211
Isabella,70311,578
Jackson,160248,724
Kalamazoo,250331,580
Kalkaska,17153,571
Kent,602622,872
Keweenaw,2156,5966
Lake,11539,575
Lapeer,88319,663
Leelanau,21708,2532
Lenawee,99892,761
Livingston,180967,585
Luce,6631,1912
Mackinac,11113,2101
Macomb,840978,570
Manistee,24733,1281
Marquette,67077,3425
Mason,28705,1242
Mecosta,42798,571
Menominee,24029,1338
Midland,83629,528
Missaukee,14849,574
Monroe,152021,680
Montcalm,63342,721
Montmorency,9765,562
Muskegon,172188,1459
Newaygo,48460,861
Oakland,1202362,908
Oceana,26570,1307
Ogemaw,21699,575
Ontonagon,6780,3741
Osceola,23528,573
Oscoda,8640,572
Otsego,24164,526
Ottawa,263801,1632
Presque Isle,13376,2573
Roscommon,24449,580
Saginaw,200169,816
St. Clair,163040,837
St. Joseph,61295,521
Sanilac,43114,1590
Schoolcraft,8485,1884
Shiawassee,70648,541
Tuscola,55729,914
Van Buren,76258,1090
Washtenaw,344791,723
Wayne,1820584,672
Wexford,32735,576
