date,county,cases,deaths
2020-03-10,Oakland,1,0
2020-03-10,Wayne,1,0
2020-03-12,Ingham,1,0
2020-03-12,Kent,3,0
2020-03-12,Montcalm,1,0
2020-03-12,Oakland,2,0
2020-03-12,St. Clair,1,0
2020-03-12,Washtenaw,2,0
2020-03-13,Unknown,1,0
2020-03-13,Washtenaw,1,0
2020-03-13,Wayne,2,0
2020-03-14,Bay,1,0
2020-03-14,Charlevoix,1,0
2020-03-14,Macomb,2,0
2020-03-14,Monroe,1,0
2020-03-14,Oakland,6,0
2020-03-14,Washtenaw,1,0
2020-03-14,Wayne,5,0
2020-03-16,Kent,2,0
2020-03-16,Macomb,4,0
2020-03-16,Oakland,5,0
2020-03-16,Ottawa,1,0
2020-03-16,St. Clair,1,0
2020-03-16,Washtenaw,3,0
2020-03-16,Wayne,5,0
2020-03-17,Detroit,2,0
2020-03-17,Ingham,1,0
2020-03-17,Jackson,1,0
2020-03-17,Leelanau,1,0
2020-03-17,Macomb,2,0
2020-03-17,Oakland,2,0
2020-03-17,Otsego,1,0
2020-03-17,Wayne,1,0
2020-03-18,Detroit,5,0
2020-03-18,Macomb,2,0
2020-03-18,Oakland,7,0
2020-03-18,Wayne,1,0
2020-03-19,Clinton,1,0
2020-03-19,Detroit,62,0
2020-03-19,Eaton,2,0
2020-03-19,Ingham,4,0
2020-03-19,Kent,2,0
2020-03-19,Livingston,1,0
2020-03-19,Macomb,45,0
2020-03-19,Midland,1,0
2020-03-19,Monroe,1,0
2020-03-19,Oakland,82,0
2020-03-19,St. Clair,1,0
2020-03-19,Unknown,10,0
2020-03-19,Washtenaw,7,0
2020-03-19,Wayne,34,1
2020-03-20,Detroit,74,2
2020-03-20,Genesee,1,0
2020-03-20,Ingham,1,0
2020-03-20,Kent,1,0
2020-03-20,Livingston,2,0
2020-03-20,Macomb,31,0
2020-03-20,Midland,2,0
2020-03-20,Monroe,1,0
2020-03-20,Non-MI,1,0
2020-03-20,Oakland,79,0
2020-03-20,St. Clair,1,0
2020-03-20,Washtenaw,2,0
2020-03-20,Wayne,23,0
2020-03-21,Barry,1,0
2020-03-21,Berrien,2,0
2020-03-21,Calhoun,1,0
2020-03-21,Clare,1,0
2020-03-21,Clinton,1,0
2020-03-21,Detroit,99,1
2020-03-21,Genesee,6,0
2020-03-21,Ingham,4,0
2020-03-21,Kent,9,0
2020-03-21,Livingston,3,0
2020-03-21,Macomb,15,0
2020-03-21,Oakland,45,1
2020-03-21,Ottawa,1,0
2020-03-21,Saginaw,1,0
2020-03-21,Tuscola,1,0
2020-03-21,Washtenaw,13,0
2020-03-21,Wayne,34,0
2020-03-21,Wexford,1,0
2020-03-22,Allegan,1,0
2020-03-22,Berrien,1,0
2020-03-22,Calhoun,1,0
2020-03-22,Charlevoix,1,0
2020-03-22,Detroit,77,1
2020-03-22,Emmet,1,0
2020-03-22,Genesee,7,0
2020-03-22,Gladwin,1,0
2020-03-22,Grand Traverse,1,0
2020-03-22,Kent,0,1
2020-03-22,Livingston,2,0
2020-03-22,Macomb,39,1
2020-03-22,Midland,1,0
2020-03-22,Monroe,3,0
2020-03-22,Non-MI,1,0
2020-03-22,Oakland,48,0
2020-03-22,Ottawa,4,0
2020-03-22,Roscommon,1,0
2020-03-22,Saginaw,1,0
2020-03-22,Washtenaw,6,0
2020-03-22,Wayne,51,0
2020-03-23,Berrien,2,0
2020-03-23,Calhoun,1,0
2020-03-23,Chippewa,1,0
2020-03-23,Detroit,86,2
2020-03-23,Genesee,9,0
2020-03-23,Ingham,1,0
2020-03-23,Kalamazoo,3,0
2020-03-23,Kent,8,0
2020-03-23,Livingston,1,0
2020-03-23,Macomb,35,1
2020-03-23,Monroe,1,0
2020-03-23,Muskegon,1,0
2020-03-23,Newaygo,1,0
2020-03-23,Non-MI,1,0
2020-03-23,Oakland,52,3
2020-03-23,Otsego,2,0
2020-03-23,Ottawa,5,0
2020-03-23,Washtenaw,7,0
2020-03-23,Wayne,76,1
2020-03-24,Bay,1,0
2020-03-24,Berrien,3,0
2020-03-24,Calhoun,1,0
2020-03-24,Charlevoix,1,0
