dates,county,cases,deaths
2020-04-01,Allegan,2,0
2020-04-01,Antrim,1,0
2020-04-01,Arenac,0,0
2020-04-01,Barry,0,0
2020-04-01,Bay,1,0
2020-04-01,Berrien,3,0
2020-04-01,Branch,0,0
2020-04-01,Calhoun,6,0
2020-04-01,Cass,2,0
2020-04-01,Charlevoix,0,0
2020-04-01,Cheboygan,1,0
2020-04-01,Chippewa,0,0
2020-04-01,Clare,0,0
2020-04-01,Clinton,9,0
2020-04-01,Crawford,0,0
2020-04-01,Delta,2,0
2020-04-01,Detroit,392,8
2020-04-01,Eaton,6,0
2020-04-01,Emmet,2,1
2020-04-01,Genesee,64,1
2020-04-01,Gladwin,0,0
2020-04-01,Gogebic,0,0
2020-04-01,Grand Traverse,1,0
2020-04-01,Gratiot,0,0
2020-04-01,Hillsdale,5,0
2020-04-01,Houghton,0,0
2020-04-01,Huron,0,0
2020-04-01,Ingham,30,1
2020-04-01,Ionia,2,0
2020-04-01,Iosco,0,0
2020-04-01,Isabella,1,0
2020-04-01,Jackson,9,1
2020-04-01,Kalamazoo,6,0
2020-04-01,Kalkaska,0,0
2020-04-01,Kent,11,1
2020-04-01,Lapeer,0,0
2020-04-01,Leelanau,0,0
2020-04-01,Lenawee,4,0
2020-04-01,Livingston,21,0
2020-04-01,Mackinac,1,0
2020-04-01,Macomb,235,13
2020-04-01,Manistee,0,0
2020-04-01,Marquette,1,0
2020-04-01,Mecosta,0,0
2020-04-01,Midland,2,0
2020-04-01,Missaukee,0,0
2020-04-01,Monroe,9,0
2020-04-01,Montcalm,5,0
2020-04-01,Muskegon,0,0
2020-04-01,Newaygo,0,0
2020-04-01,Oakland,319,29
2020-04-01,Oceana,0,0
2020-04-01,Ogemaw,0,0
2020-04-01,Osceola,0,0
2020-04-01,Oscoda,0,0
2020-04-01,Otsego,0,0
2020-04-01,Ottawa,0,0
2020-04-01,Roscommon,0,0
2020-04-01,Saginaw,20,0
2020-04-01,Sanilac,0,1
2020-04-01,Shiawassee,3,0
2020-04-01,St. Clair,9,0
2020-04-01,St. Joseph,1,0
2020-04-01,Tuscola,2,0
2020-04-01,Van Buren,3,0
2020-04-01,Washtenaw,96,1
2020-04-01,Wayne,343,18
2020-04-01,Wexford,0,0
2020-04-01,Unknown,68,2
2020-04-01,Non-MI,22,1
2020-04-01,Total,9334,337
