2020-04-02,County,Cases,Deaths
2020-04-02,Allegan,5,0
2020-04-02,Antrim,4,0
2020-04-02,Arenac,1,0
2020-04-02,Barry,4,0
2020-04-02,Bay,16,0
2020-04-02,Berrien,40,1
2020-04-02,Branch,5,0
2020-04-02,Calhoun,25,0
2020-04-02,Cass,6,1
2020-04-02,Charlevoix,5,0
2020-04-02,Cheboygan,3,0
2020-04-02,Chippewa,1,0
2020-04-02,Clare,1,0
2020-04-02,Clinton,43,1
2020-04-02,Crawford,1,0
2020-04-02,Delta,4,0
2020-04-02,Detroit City,2858,101
2020-04-02,Dickinson,1,0
2020-04-02,Eaton,37,1
2020-04-02,Emmet,6,1
2020-04-02,Genesee,349,10
2020-04-02,Gladwin,2,0
2020-04-02,Gogebic,3,1
2020-04-02,Grand Traverse,9,2
2020-04-02,Gratiot,5,0
2020-04-02,Hillsdale,24,1
2020-04-02,Houghton,1,0
2020-04-02,Huron,4,0
2020-04-02,Ingham,128,1
2020-04-02,Ionia,5,0
2020-04-02,Iosco,1,0
2020-04-02,Isabella,8,1
2020-04-02,Jackson,67,2
2020-04-02,Kalamazoo,34,1
2020-04-02,Kalkaska,7,1
2020-04-02,Kent,125,2
2020-04-02,Lapeer,21,0
2020-04-02,Leelanau,1,0
2020-04-02,Lenawee,24,0
2020-04-02,Livingston,113,2
2020-04-02,Mackinac,1,0
2020-04-02,Macomb,1332,58
2020-04-02,Manistee,1,0
2020-04-02,Marquette,5,0
2020-04-02,Mecosta,3,1
2020-04-02,Midland,15,0
2020-04-02,Missaukee,1,1
2020-04-02,Monroe,79,0
2020-04-02,Montcalm,10,0
2020-04-02,Muskegon,26,2
2020-04-02,Newaygo,2,0
2020-04-02,Oakland,2183,119
2020-04-02,Oceana,2,0
2020-04-02,Ogemaw,2,0
2020-04-02,Osceola,3,0
2020-04-02,Oscoda,2,0
2020-04-02,Otsego,19,0
2020-04-02,Ottawa,35,0
2020-04-02,Roscommon,1,0
2020-04-02,Saginaw,82,0
2020-04-02,Sanilac,8,1
2020-04-02,Shiawassee,17,0
2020-04-02,St. Clair,53,0
2020-04-02,St. Joseph,8,0
2020-04-02,Tuscola,14,2
2020-04-02,Van Buren,12,1
2020-04-02,Washtenaw,438,8
2020-04-02,Wayne,2211,93
2020-04-02,Wexford,3,0
2020-04-02,Other*,166,0
2020-04-02,Out of State,48,1
2020-04-02,Unknown,12,0
2020-04-02,Total,10791,417
