2020-05-27,County,Confirmed Cases,Reported Deaths
2020-05-27,Alcona,12,1.0
2020-05-27,Allegan,211,6.0
2020-05-27,Alpena,95,9.0
2020-05-27,Antrim,12,0
2020-05-27,Arenac,33,1.0
2020-05-27,Baraga,1,0
2020-05-27,Barry,62,2.0
2020-05-27,Bay,294,22.0
2020-05-27,Benzie,4,0
2020-05-27,Berrien,600,48.0
2020-05-27,Branch,105,2.0
2020-05-27,Calhoun,351,22.0
2020-05-27,Cass,79,2.0
2020-05-27,Charlevoix,15,1.0
2020-05-27,Cheboygan,21,1.0
2020-05-27,Chippewa,2,0
2020-05-27,Clare,17,2.0
2020-05-27,Clinton,142,10.0
2020-05-27,Crawford,58,5.0
2020-05-27,Delta,17,2.0
2020-05-27,Detroit City,10872,1347.0
2020-05-27,Dickinson,5,2.0
2020-05-27,Eaton,179,6.0
2020-05-27,Emmet,21,2.0
2020-05-27,Genesee,1971,247.0
2020-05-27,Gladwin,18,1.0
2020-05-27,Gogebic,5,1.0
2020-05-27,Grand Traverse,23,5.0
2020-05-27,Gratiot,74,8.0
2020-05-27,Hillsdale,169,24.0
2020-05-27,Houghton,4,0
2020-05-27,Huron,42,1.0
2020-05-27,Ingham,717,25.0
2020-05-27,Ionia,145,3.0
2020-05-27,Iosco,89,9.0
2020-05-27,Isabella,74,7.0
2020-05-27,Jackson,439,26.0
2020-05-27,Kalamazoo,814,51.0
2020-05-27,Kalkaska,19,2.0
2020-05-27,Kent,3454,76.0
2020-05-27,Lake,5,0
2020-05-27,Lapeer,188,30.0
2020-05-27,Leelanau,11,0
2020-05-27,Lenawee,147,4.0
2020-05-27,Livingston,391,26.0
2020-05-27,Luce,3,0
2020-05-27,Mackinac,6,0
2020-05-27,Macomb,6558,784.0
2020-05-27,Manistee,11,0
2020-05-27,Marquette,54,10.0
2020-05-27,Mason,31,0
2020-05-27,Mecosta,20,2.0
2020-05-27,Menominee,8,0
2020-05-27,Midland,80,8.0
2020-05-27,Missaukee,16,1.0
2020-05-27,Monroe,464,19.0
2020-05-27,Montcalm,65,1.0
2020-05-27,Montmorency,5,0
2020-05-27,Muskegon,606,33.0
2020-05-27,Newaygo,96,0
2020-05-27,Oakland,8260,961.0
2020-05-27,Oceana,85,2.0
2020-05-27,Ogemaw,21,0
2020-05-27,Osceola,11,0
2020-05-27,Oscoda,5,1.0
2020-05-27,Otsego,100,10.0
2020-05-27,Ottawa,715,31.0
2020-05-27,Presque Isle,11,0
2020-05-27,Roscommon,21,0
2020-05-27,Saginaw,1002,107.0
2020-05-27,Sanilac,40,5.0
2020-05-27,Schoolcraft,4,0
2020-05-27,Shiawassee,237,26.0
2020-05-27,St Clair,431,37.0
2020-05-27,St Joseph,109,2.0
2020-05-27,Tuscola,186,23.0
2020-05-27,Van Buren,131,6.0
2020-05-27,Washtenaw,1305,97.0
2020-05-27,Wayne,9127,1059.0
2020-05-27,Wexford,11,2.0
2020-05-27,MDOC*,3548,64.0
2020-05-27,FCI**,138,4.0
2020-05-27,Unknown,16,0
2020-05-27,Out of State,64,0
2020-05-27,Grand Total,55608,5334.0
