2020-06-03,County,Confirmed Cases,Reported Death
2020-06-03,Alcona,17,1.0
2020-06-03,Allegan,221,6.0
2020-06-03,Alpena,95,9.0
2020-06-03,Antrim,12,0
2020-06-03,Arenac,34,1.0
2020-06-03,Baraga,1,0
2020-06-03,Barry,64,2.0
2020-06-03,Bay,322,24.0
2020-06-03,Benzie,4,0
2020-06-03,Berrien,643,53.0
2020-06-03,Branch,124,2.0
2020-06-03,Calhoun,392,23.0
2020-06-03,Cass,84,3.0
2020-06-03,Charlevoix,15,1.0
2020-06-03,Cheboygan,21,1.0
2020-06-03,Chippewa,2,0
2020-06-03,Clare,19,2.0
2020-06-03,Clinton,141,11.0
2020-06-03,Crawford,58,5.0
2020-06-03,Delta,17,2.0
2020-06-03,Detroit City,11091,1381.0
2020-06-03,Dickinson,5,2.0
2020-06-03,Eaton,192,6.0
2020-06-03,Emmet,21,2.0
2020-06-03,Genesee,2049,252.0
2020-06-03,Gladwin,18,1.0
2020-06-03,Gogebic,5,1.0
2020-06-03,Grand Traverse,27,5.0
2020-06-03,Gratiot,76,11.0
2020-06-03,Hillsdale,170,24.0
2020-06-03,Houghton,6,0
2020-06-03,Huron,48,1.0
2020-06-03,Ingham,746,27.0
2020-06-03,Ionia,154,4.0
2020-06-03,Iosco,96,9.0
2020-06-03,Iron,1,0
2020-06-03,Isabella,78,7.0
2020-06-03,Jackson,458,28.0
2020-06-03,Kalamazoo,850,58.0
2020-06-03,Kalkaska,19,2.0
2020-06-03,Kent,3815,93.0
2020-06-03,Lake,6,0
2020-06-03,Lapeer,191,30.0
2020-06-03,Leelanau,11,0
2020-06-03,Lenawee,175,4.0
2020-06-03,Livingston,398,26.0
2020-06-03,Luce,3,0
2020-06-03,Mackinac,8,0
2020-06-03,Macomb,6769,826.0
2020-06-03,Manistee,11,0
2020-06-03,Marquette,56,11.0
2020-06-03,Mason,32,0
2020-06-03,Mecosta,21,2.0
2020-06-03,Menominee,8,0
2020-06-03,Midland,82,8.0
2020-06-03,Missaukee,16,1.0
2020-06-03,Monroe,473,20.0
2020-06-03,Montcalm,67,1.0
2020-06-03,Montmorency,5,0
2020-06-03,Muskegon,657,37.0
2020-06-03,Newaygo,108,0
2020-06-03,Oakland,8425,1003.0
2020-06-03,Oceana,92,2.0
2020-06-03,Ogemaw,22,1.0
2020-06-03,Osceola,12,0
2020-06-03,Oscoda,5,1.0
2020-06-03,Otsego,102,10.0
2020-06-03,Ottawa,797,36.0
2020-06-03,Presque Isle,11,0
2020-06-03,Roscommon,21,0
2020-06-03,Saginaw,1057,109.0
2020-06-03,Sanilac,42,5.0
2020-06-03,Schoolcraft,4,0
2020-06-03,Shiawassee,239,26.0
2020-06-03,St Clair,452,43.0
2020-06-03,St Joseph,130,3.0
2020-06-03,Tuscola,188,24.0
2020-06-03,Van Buren,149,6.0
2020-06-03,Washtenaw,1341,100.0
2020-06-03,Wayne,9450,1098.0
2020-06-03,Wexford,12,3.0
2020-06-03,MDOC*,3970,70.0
2020-06-03,FCI**,149,4.0
2020-06-03,Unknown,12,0
2020-06-03,Out of State,45,0
2020-06-03,Totals,58035,5570.0
