dates,county,cases,deaths
2020-03-31,Allegan,2,0
2020-03-31,Antrim,1,0
2020-03-31,Arenac,1,0
2020-03-31,Barry,1,0
2020-03-31,Bay,0,0
2020-03-31,Berrien,3,1
2020-03-31,Branch,2,0
2020-03-31,Calhoun,0,0
2020-03-31,Cass,0,1
2020-03-31,Charlevoix,0,0
2020-03-31,Cheboygan,0,0
2020-03-31,Chippewa,1,0
2020-03-31,Clare,0,0
2020-03-31,Clinton,5,0
2020-03-31,Crawford,0,0
2020-03-31,Delta,0,0
2020-03-31,Detroit,279,23
2020-03-31,Eaton,6,0
2020-03-31,Emmet,1,0
2020-03-31,Genesee,35,0
2020-03-31,Gladwin,0,0
2020-03-31,Gogebic,1,0
2020-03-31,Grand Traverse,0,0
2020-03-31,Gratiot,0,0
2020-03-31,Hillsdale,2,0
2020-03-31,Houghton,0,0
2020-03-31,Huron,0,0
2020-03-31,Ingham,18,0
2020-03-31,Ionia,0,0
2020-03-31,Iosco,0,0
2020-03-31,Isabella,1,0
2020-03-31,Jackson,10,0
2020-03-31,Kalamazoo,0,0
2020-03-31,Kalkaska,2,1
2020-03-31,Kent,12,0
2020-03-31,Lapeer,2,0
2020-03-31,Leelanau,0,0
2020-03-31,Lenawee,3,0
2020-03-31,Livingston,16,0
2020-03-31,Macomb,125,11
2020-03-31,Manistee,0,0
2020-03-31,Marquette,1,0
2020-03-31,Mecosta,1,0
2020-03-31,Midland,1,0
2020-03-31,Missaukee,0,0
2020-03-31,Monroe,4,0
2020-03-31,Montcalm,1,0
2020-03-31,Muskegon,0,0
2020-03-31,Newaygo,0,0
2020-03-31,Oakland,226,22
2020-03-31,Oceana,0,0
2020-03-31,Ogemaw,-3,0
2020-03-31,Osceola,0,0
2020-03-31,Oscoda,2,0
2020-03-31,Otsego,2,0
2020-03-31,Ottawa,3,0
2020-03-31,Roscommon,0,0
2020-03-31,Saginaw,15,0
2020-03-31,Sanilac,2,0
2020-03-31,Schoolcraft,1,0
2020-03-31,Shiawassee,0,0
2020-03-31,St. Clair,7,0
2020-03-31,St. Joseph,1,0
2020-03-31,Tuscola,4,1
2020-03-31,Van Buren,3,0
2020-03-31,Washtenaw,39,1
2020-03-31,Wayne,261,14
2020-03-31,Wexford,0,0
2020-03-31,Unknown,15,0
2020-03-31,Non-MI,3,0
2020-03-31,Total,7615,259
