2020-03-31,County,Cases,Deaths
2020-03-31,Allegan,3,0
2020-03-31,Antrim,3,0
2020-03-31,Arenac,1,0
2020-03-31,Barry,2,0
2020-03-31,Bay,9,0
2020-03-31,Berrien,35,1
2020-03-31,Branch,2,0
2020-03-31,Calhoun,17,0
2020-03-31,Cass,4,1
2020-03-31,Charlevoix,4,0
2020-03-31,Cheboygan,1,0
2020-03-31,Chippewa,1,0
2020-03-31,Clare,1,0
2020-03-31,Clinton,24,0
2020-03-31,Crawford,1,0
2020-03-31,Delta,1,0
2020-03-31,Detroit City,2080,75
2020-03-31,Eaton,21,0
2020-03-31,Emmet,5,0
2020-03-31,Genesee,185,7
2020-03-31,Gladwin,2,0
2020-03-31,Gogebic,2,1
2020-03-31,Grand Traverse,7,0
2020-03-31,Gratiot,3,0
2020-03-31,Hillsdale,14,1
2020-03-31,Houghton,1,0
2020-03-31,Huron,3,0
2020-03-31,Ingham,91,0
2020-03-31,Ionia,4,0
2020-03-31,Iosco,1,0
2020-03-31,Isabella,6,1
2020-03-31,Jackson,47,1
2020-03-31,Kalamazoo,24,1
2020-03-31,Kalkaska,7,1
2020-03-31,Kent,108,1
2020-03-31,Lapeer,8,0
2020-03-31,Leelanau,1,0
2020-03-31,Lenawee,18,0
2020-03-31,Livingston,80,2
2020-03-31,Macomb,853,38
2020-03-31,Manistee,1,0
2020-03-31,Marquette,4,0
2020-03-31,Mecosta,3,1
2020-03-31,Midland,10,0
2020-03-31,Missaukee,1,1
2020-03-31,Monroe,49,0
2020-03-31,Montcalm,5,0
2020-03-31,Muskegon,18,2
2020-03-31,Newaygo,1,0
2020-03-31,Oakland,1591,70
2020-03-31,Oceana,2,0
2020-03-31,Ogemaw,1,0
2020-03-31,Osceola,2,0
2020-03-31,Oscoda,2,0
2020-03-31,Otsego,19,0
2020-03-31,Ottawa,31,0
2020-03-31,Roscommon,1,0
2020-03-31,Saginaw,51,0
2020-03-31,Sanilac,7,0
2020-03-31,Schoolcraft,1,0
2020-03-31,Shiawassee,8,0
2020-03-31,St. Clair,32,0
2020-03-31,St. Joseph,4,0
2020-03-31,Tuscola,9,2
2020-03-31,Van Buren,7,0
2020-03-31,Washtenaw,305,7
2020-03-31,Wayne,1655,45
2020-03-31,Wexford,2,0
2020-03-31,Other*,93,0
2020-03-31,Out of State,20,0
2020-03-31,Total,7615,259
